,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
256,2020,1,Salta,129000,514000,38537,63714,17991,8625,34744,6441,170695
257,2020,1,San Juan,48000,194000,59787,1594,1292,40000,127,4779,67861
258,2020,1,San Luis,105000,0,11322,4164,525000,58258,5,36075,110454
259,2020,1,Santa Cruz,67000,11000,27447,4993,5169,529000,119,0,38335
260,2020,1,Santa Fe,696000,2994,217553,196826,104560,48448,173823,17656,762556
261,2020,1,Santiago Del Estero,133000,1779,33086,56884,3737,135000,2799,4501,103054
262,2020,1,Tierra Del Fuego,11000,1000,22976,5024,1834,196000,518,7046,37606
263,2020,1,Tucumán,52000,97000,49555,50383,31096,1730,67536,0,200449
264,2019,4,Buenos Aires,33489,27537,1177446,262297,247106,452570,1465133,20676,3686254
265,2019,4,Capital Federal,307000,15000,177098,110218,110852,205810,753805,0,1358105
266,2019,4,Catamarca,63000,0,9945,7619,9305,804000,7477,3098,38311
267,2019,4,Chaco,83000,0,25899,18959,30902,13516,21556,6988,117903
268,2019,4,Chubut,158000,4000,69405,12945,7615,1240,614,4121,96102
269,2019,4,Córdoba,142000,0,232781,118232,109330,114111,221742,10350,806688
270,2019,4,Corrientes,72000,0,35055,20620,27367,9981,15744,4995,113834
271,2019,4,Entre Ríos,47000,0,88203,44511,42962,18976,30153,14178,239030
272,2019,4,Formosa,1127,191000,24606,6319,6788,1766,5671,243000,46711
273,2019,4,Jujuy,55000,0,32920,9632,26764,102000,5286,14122,88881
274,2019,4,La Pampa,293000,313000,76747,6900,1951,1287,1342,1566,90399
275,2019,4,La Rioja,21000,0,37846,5045,4763,22000,1305,0,49002
276,2019,4,Mendoza,746000,9000,145139,12955,15237,2165,2628,6901,185780
277,2019,4,Misiones,71000,0,39664,20840,27305,15626,20799,11508,135813
278,2019,4,Neuquén,218000,1000,57370,4439,7357,12059,35001,0,116445
279,2019,4,Río Negro,114000,0,71847,2797,8558,6968,19837,17019,127140
280,2019,4,Salta,149000,1000,42159,67656,15369,14170,25821,7120,172445
281,2019,4,San Juan,48000,1000,60626,1594,1292,40000,127,1246,64974
282,2019,4,San Luis,105000,0,11901,4164,525000,55216,3,36287,108201
283,2019,4,Santa Cruz,67000,0,32368,4346,2224,7000,8,350000,39370
284,2019,4,Santa Fe,698000,0,230234,190664,113527,70998,135576,27472,769169
285,2019,4,Santiago Del Estero,133000,908000,34911,56309,3756,105000,2449,5017,103588
286,2019,4,Tierra Del Fuego,11000,0,23593,5050,1848,139000,1962,7789,40392
287,2019,4,Tucumán,55000,0,54544,52017,28916,6405,56707,0,198644
288,2019,3,Buenos Aires,238920,44648,1432722,222812,260505,483572,1246209,42294,3971683
289,2019,3,Capital Federal,104000,368000,269704,120924,138011,258591,655108,0,1442810
290,2019,3,Catamarca,34000,43000,14449,9285,6333,72000,15,2151,32382
291,2019,3,Chaco,69000,1216,32764,28198,13336,12987,16740,6917,112227
292,2019,3,Chubut,74000,840000,62680,13033,7171,1240,614,4500,90152
