Año,Trimestre,Provincia,Accesos por cada 100 hogares,Crecimiento Trimestral,Crecimiento Anual,Trimestre2
2017,1,Jujuy,22.76,0.4856512141280467,6.305464736104627,2017-01-01
2017,1,La Pampa,62.67,-0.5553792446842287,8.350622406638998,2017-01-01
2017,1,La Rioja,16.2,-1.5795868772782606,-3.743315508021383,2017-01-01
2017,1,Mendoza,31.84,-0.8408595453129886,-0.8717310087173025,2017-01-01
2017,1,Misiones,29.52,-0.6729475100942128,4.053577722946766,2017-01-01
2017,1,Neuquén,61.02,0.2464268112370771,9.45291479820629,2017-01-01
2017,1,Río Negro,46.03,-0.7760293166630738,0.414485165794054,2017-01-01
2017,1,Salta,32.58,-0.3364943407769938,4.022988505747116,2017-01-01
2017,1,San Juan,27.04,-0.9160864785635714,-1.0611050128064403,2017-01-01
2017,1,San Luis,9.55,-0.9336099585062207,-0.4171011470281427,2017-01-01
2017,1,Santa Cruz,26.52,-1.9593345656192307,-1.3025679196129514,2017-01-01
2017,1,Santa Fe,51.97,-0.4215366928530306,1.3455538221528895,2017-01-01
2017,1,Santiago Del Estero,14.7,-2.4552090245520963,-9.315237507711291,2017-01-01
2017,1,Tierra Del Fuego,68.92,-1.9769591807708764,4.69390855233176,2017-01-01
2017,1,Tucumán,37.9,-0.2106371774618143,3.213507625272327,2017-01-01
2017,2,Buenos Aires,56.27,-3.926925046952357,-5.173576002696323,2017-04-01
2017,2,Capital Federal,124.06,14.478176617144968,3.348883705431516,2017-04-01
2017,2,Catamarca,25.98,1.247077162899446,-0.345224395857302,2017-04-01
2017,2,Chaco,29.05,1.5024458420684894,1.6089541797831508,2017-04-01
2017,2,Chubut,35.55,-0.3084688726864848,-1.5780730897009931,2017-04-01
2017,2,Corrientes,31.39,1.4544279250161551,2.648790058862005,2017-04-01
2017,2,Córdoba,58.97,2.289679098005215,2.46741963509991,2017-04-01
2017,2,Entre Ríos,45.39,1.0688042752171167,1.4528386231560164,2017-04-01
2017,2,Formosa,19.97,0.6552419354838745,3.097573567372214,2017-04-01
2017,2,Jujuy,22.4,-1.5817223198594133,2.3298309730470423,2017-04-01
2017,2,La Pampa,63.49,1.3084410403702007,5.046326935804113,2017-04-01
2017,2,La Rioja,16.2,0.0,-4.028436018957349,2017-04-01
2017,2,Mendoza,31.76,-0.2512562814070307,-1.1515717398070335,2017-04-01
2017,2,Misiones,30.09,1.9308943089430877,2.906976744186052,2017-04-01
2017,2,Neuquén,61.91,1.4585381842018963,4.754653130287645,2017-04-01
2017,2,Río Negro,46.02,-0.0217249619813175,-0.4757785467128017,2017-04-01
2017,2,Salta,32.74,0.491098833640291,2.057356608478811,2017-04-01
2017,2,San Juan,26.96,-0.2958579881656709,-1.3899049012435991,2017-04-01
2017,2,San Luis,9.51,-0.4188481675392763,-0.9375000000000022,2017-04-01
2017,2,Santa Cruz,26.25,-1.0180995475113086,-1.795735129068465,2017-04-01
